url_length,num_dots,having_at_symbol,prefix_suffix_in_domain,uses_https,is_ip,num_subdomains,has_suspicious_keyword,label
39,3,0,0,0,1,0,1,1
49,2,0,1,0,0,1,1,1
45,2,0,1,0,0,1,1,1
39,3,0,0,0,1,0,1,1
43,2,0,1,0,0,1,1,1
51,2,0,1,0,0,1,1,1
43,1,0,1,0,0,0,1,1
43,4,0,0,0,1,0,1,1
48,2,0,1,0,0,0,1,1
50,2,0,1,0,0,1,1,1
52,2,0,1,0,0,1,1,1
46,2,0,1,0,0,1,1,1
48,2,0,1,0,0,1,1,1
48,2,0,1,0,0,1,1,1
42,4,0,0,0,1,0,1,1
56,2,0,1,0,0,1,1,1
56,2,0,1,0,0,1,0,1
46,2,0,1,0,0,1,1,1
48,2,0,1,0,0,1,1,1
49,2,0,1,0,0,1,1,1
50,2,0,1,0,0,1,1,1
48,3,0,0,0,1,0,1,1
45,1,0,1,0,0,0,1,1
54,2,0,1,0,0,1,1,1
55,2,0,1,0,0,1,1,1
22,2,0,0,1,0,1,0,0
23,2,0,0,1,0,1,0,0
24,2,0,0,1,0,1,0,0
25,2,0,0,1,0,1,0,0
22,2,0,0,1,0,1,0,0
25,2,0,0,1,0,1,0,0
21,2,0,0,1,0,1,0,0
22,2,0,0,1,0,1,0,0
24,2,0,0,1,0,1,0,0
23,2,0,0,1,0,1,0,0
25,2,0,0,1,0,1,0,0
22,2,0,0,1,0,1,0,0
23,2,0,0,1,0,1,0,0
21,2,0,0,1,0,1,0,0
29,2,0,0,1,0,1,0,0
19,2,0,0,1,0,1,0,0
19,2,0,0,1,0,1,0,0
23,2,0,0,1,0,1,0,0
19,2,0,0,1,0,1,0,0
24,2,0,0,1,0,1,0,0
23,2,0,0,1,0,1,0,0
22,2,0,0,1,0,1,0,0
20,2,0,0,1,0,1,0,0
21,2,0,0,1,0,1,0,0
25,2,0,0,1,0,1,0,0
